emoji,name,category,rgi,file,url,width,height,bytes,sha256
🫠,Melting,Smileys & Emotion,1fae0,Smileys Emotion/melting__1fae0.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1fae0/512.png,512,512,170015,e281f79f4513fe5719b0d7a3f3094476ba2c18a398b9410c1b23a882db289abf
😉,Wink,Smileys & Emotion,1f609,Smileys Emotion/wink__1f609.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f609/512.png,512,512,163078,cf072829d4c424cbeca99f04067386fb4abcbdd3c7a24414a7470cb7d79f2fa9
😊,Blush,Smileys & Emotion,1f60a,Smileys Emotion/blush__1f60a.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f60a/512.png,512,512,146241,1ecf3367a12494f3dc4a62a34300f38b695a2f4f7e807b4149cb0754f99254e0
😇,Halo,Smileys & Emotion,1f607,Smileys Emotion/halo__1f607.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f607/512.png,512,512,179628,62bc5735e79b97d26f9938c1dcd5d4b1d76c63b13797327651d3d4c4cd97fc2a
🥰,Heart Face,Smileys & Emotion,1f970,Smileys Emotion/heart-face__1f970.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f970/512.png,512,512,187113,fffa5ef3eddbfc6fe0e01c98578410d2cdecfafebeddd0defec0404ca6f2de2f
😍,Heart Eyes,Smileys & Emotion,1f60d,Smileys Emotion/heart-eyes__1f60d.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f60d/512.png,512,512,145780,3b688c5e68ab9f0efb3af625344d4d68712cf0c945e8d0992a195a0d906ff6bd
🤩,Star Struck,Smileys & Emotion,1f929,Smileys Emotion/star-struck__1f929.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f929/512.png,512,512,166329,26ac84ba41d896aeda20c6bf37be706250c6864d0cf010f06cc6409d0826bc70
😘,Kissing Heart,Smileys & Emotion,1f618,Smileys Emotion/kissing-heart__1f618.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f618/512.png,512,512,157866,66111e5bfe2fe79eb9b44e4c92c1d54870e6db89566cda5a26e116af2dc2fb0a
😗,Kissing,Smileys & Emotion,1f617,Smileys Emotion/kissing__1f617.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f617/512.png,512,512,147067,eb82b800dbd240e1d7a434c0cde13c7502fd637ff5b1d1c40a3dd5a2615c8b87
☺,Warm Smile,Smileys & Emotion,263a,Smileys Emotion/warm-smile__263a.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/263a/512.png,512,512,149317,35529bbcbccfddbf88f6a05de01bf1e3c5fd3308820d021367d15d2194ab910a
😚,Kissing Closed Eyes,Smileys & Emotion,1f61a,Smileys Emotion/kissing-closed-eyes__1f61a.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f61a/512.png,512,512,151639,2f3794c7bbd59e65f0edb808c79e934f1fb618ee93419d837b1ef5f898565fd8
😙,Kissing Smiling Eyes,Smileys & Emotion,1f619,Smileys Emotion/kissing-smiling-eyes__1f619.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f619/512.png,512,512,145127,7373252c3464f88ff593de4d9ef8c254c1a2e286fcd17679877f4923fcefe4d3
🥲,Happy Cry,Smileys & Emotion,1f972,Smileys Emotion/happy-cry__1f972.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f972/512.png,512,512,168613,1fcdc97e3f56145e8f7b8fb43493efba33f822e6ebf5b212dd3ef9356efa0159
😋,Yum,Smileys & Emotion,1f60b,Smileys Emotion/yum__1f60b.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f60b/512.png,512,512,172887,e4380bc0b54db1dd893cf023ad0e79942c54415b2204b2db31df7ed896a9d45c
😛,Stuck Out Tongue,Smileys & Emotion,1f61b,Smileys Emotion/stuck-out-tongue__1f61b.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f61b/512.png,512,512,154508,c62c9cfebd75afb596b89dbcb065638ef8910b146d4709912fc78066ec7a5019
😜,Winky Tongue,Smileys & Emotion,1f61c,Smileys Emotion/winky-tongue__1f61c.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f61c/512.png,512,512,175508,e1189cdf41ec3823713108e0faa03b73273f4642f6628ced190d553aaf09fa08
🤪,Zany Face,Smileys & Emotion,1f92a,Smileys Emotion/zany-face__1f92a.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f92a/512.png,512,512,180157,d39fa9441d81060ea5e4f0768d8a832cb21b88c4d11c8bdb56032af1a7ed5391
😝,Squinting Tongue,Smileys & Emotion,1f61d,Smileys Emotion/squinting-tongue__1f61d.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f61d/512.png,512,512,173817,47a163e699cd49d306f1d564796f951bfe40d6469b0f72732323196c648a59dd
🤑,Money Face,Smileys & Emotion,1f911,Smileys Emotion/money-face__1f911.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f911/512.png,512,512,182807,473a3dcbc3393513169883631c94a38cfed620ecd1ddbcbfd70e96ab888d8182
🤗,Hug Face,Smileys & Emotion,1f917,Smileys Emotion/hug-face__1f917.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f917/512.png,512,512,199187,af7c73ed3b19c3f14acd5376a4a188d78038a6f3c44e06508be108e1f4efb8d6
🤭,Smiling Eyes With Hand Over Mouth,Smileys & Emotion,1f92d,Smileys Emotion/smiling-eyes-with-hand-over-mouth__1f92d.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f92d/512.png,512,512,196240,047c65ecd5e4ead2d7861dc6de309e3a44f3ad2530de4712fa89aa3d2d9dd83a
🫢,Hand Over Mouth,Smileys & Emotion,1fae2,Smileys Emotion/hand-over-mouth__1fae2.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1fae2/512.png,512,512,195597,b14f838711b9b4be47dddb6d9d23595afdc109bdbdbe70647c2c97c18e3655f9
🫣,Peeking,Smileys & Emotion,1fae3,Smileys Emotion/peeking__1fae3.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1fae3/512.png,512,512,210001,cada073c68e4ee655b27c9d0634b1bf7634300f26085f3a80c45255989679b38
🤫,Shushing Face,Smileys & Emotion,1f92b,Smileys Emotion/shushing-face__1f92b.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f92b/512.png,512,512,181197,42ca211e6ea1e266bf2b07b0a8057e8c2ee0217bae2c030283a7fa18147687a9
🤔,Thinking Face,Smileys & Emotion,1f914,Smileys Emotion/thinking-face__1f914.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f914/512.png,512,512,197427,88d1767a2c0ecc83f192914a0d22d6aa4cb51c249f8c6ca4d9aa3f7e1d781d37
🫡,Salute,Smileys & Emotion,1fae1,Smileys Emotion/salute__1fae1.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1fae1/512.png,512,512,182145,a1d9bfa69eb671e2bc1b3a0865e5263e8bb6915f6f0abd75099c84089b459302
🤐,Zipper Face,Smileys & Emotion,1f910,Smileys Emotion/zipper-face__1f910.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f910/512.png,512,512,161944,10733120f6302d95b3c7b74d406630798eb8e97726a59fcb163d1748af559a15
🤨,Raised Eyebrow,Smileys & Emotion,1f928,Smileys Emotion/raised-eyebrow__1f928.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f928/512.png,512,512,154260,0e3f91c8b3e572b76f4116073a8ac9e975bca1b58477a6f560f6656bc8a4bebb
😐,Neutral Face,Smileys & Emotion,1f610,Smileys Emotion/neutral-face__1f610.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f610/512.png,512,512,142314,fa0859844b26f467271af9760b5c16cc92c185f924b01e5f6af8925218f21baa
😑,Expressionless,Smileys & Emotion,1f611,Smileys Emotion/expressionless__1f611.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f611/512.png,512,512,136918,53112eab117f3a4e9248b5fd7683df59ff26aac4d5cf6267676a88cebde33603
😶,Mouth None,Smileys & Emotion,1f636,Smileys Emotion/mouth-none__1f636.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f636/512.png,512,512,151758,1953fd9fc863e396ad9f9faad667da28ad23868baea856c636bdc8e04a0086f6
🫥,Dotted Line Face,Smileys & Emotion,1fae5,Smileys Emotion/dotted-line-face__1fae5.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1fae5/512.png,512,512,53256,cd10afb26d14e8b8dfa3e3b65daa4d87574f6fed36e1f67498584caed5be7cae
😶‍🌫,Face In Clouds,Smileys & Emotion,1f636_200d_1f32b,Smileys Emotion/face-in-clouds__1f636_200d_1f32b.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f636_200d_1f32b/512.png,512,512,243803,b7bf4b5f3b5bba84cecdc939bdd937a36e0fedb60ab6f2166e072d691e37cd46
😏,Smirk,Smileys & Emotion,1f60f,Smileys Emotion/smirk__1f60f.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f60f/512.png,512,512,161740,4ac4d6e1d7dd3db66e1cecd0231d64988a907ec52e6e9aa1418250e59c6d76f9
😒,Unamused,Smileys & Emotion,1f612,Smileys Emotion/unamused__1f612.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f612/512.png,512,512,164757,30c8d8791eb7a7bb3664c753c48a009c1fbc70ce9f65da16ff06b617f9e605a2
🙄,Rolling Eyes,Smileys & Emotion,1f644,Smileys Emotion/rolling-eyes__1f644.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f644/512.png,512,512,160759,473830b461286206dd63d26e848b6455e95c64976c98a0316e22539b924df55e
😬,Grimacing,Smileys & Emotion,1f62c,Smileys Emotion/grimacing__1f62c.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f62c/512.png,512,512,167101,5b78403ae393eb8ef86ad95fd14e5382205ff0feb2c35c67905ad5a78d1619b8
😮‍💨,Exhale,Smileys & Emotion,1f62e_200d_1f4a8,Smileys Emotion/exhale__1f62e_200d_1f4a8.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f62e_200d_1f4a8/512.png,512,512,169329,c1912ba5ac2c889d35d1c07c59c47e4924ac2ba2eb844182815d1edceef3d4d0
🤥,Liar,Smileys & Emotion,1f925,Smileys Emotion/liar__1f925.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f925/512.png,512,512,146361,ea46d6299a81726162331dc2b77572de06632e1706357397d573d0915a873838
🫨,Shaking Face,Smileys & Emotion,1fae8,Smileys Emotion/shaking-face__1fae8.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1fae8/512.png,512,512,158900,b1f366634a570aa9643d84978f51910a756cf4a88ec1ac0f37cfc3da0fbe4d27
🙂‍↔,Head Shake,Smileys & Emotion,1f642_200d_2194,Smileys Emotion/head-shake__1f642_200d_2194.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f642_200d_2194/512.png,512,512,144113,d3713e8f038cf485782b9538ea80b671cb3ef5a1ab4e6dfac65c26879608fdba
🙂‍↕,Head Nod,Smileys & Emotion,1f642_200d_2195,Smileys Emotion/head-nod__1f642_200d_2195.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f642_200d_2195/512.png,512,512,152093,083f564a658ada5f6249450949961249a6bc23a014abd0988643095c290869fb
😌,Relieved,Smileys & Emotion,1f60c,Smileys Emotion/relieved__1f60c.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f60c/512.png,512,512,150345,584d408acad561c47760a5cf4f66bf6ad506f5e731c8dfa402840ef356cfc051
😔,Pensive,Smileys & Emotion,1f614,Smileys Emotion/pensive__1f614.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f614/512.png,512,512,148187,501f86920708316979901c5e073850de00b496c4f7cddbefed2cc16046b10aee
😪,Sleepy,Smileys & Emotion,1f62a,Smileys Emotion/sleepy__1f62a.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f62a/512.png,512,512,173048,37688cf0be5c15240981262396d4d6ae8cfffada8c05aa4fbf61c3d4e2642baa
🤤,Drool,Smileys & Emotion,1f924,Smileys Emotion/drool__1f924.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f924/512.png,512,512,162311,cbe9b640eee3e9daffcd25a1ea32ccb1366dcd656271784c8696d50b8d365a8b
😴,Sleep,Smileys & Emotion,1f634,Smileys Emotion/sleep__1f634.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f634/512.png,512,512,182170,596d90effc7c6e9f084b6a059a6cf0956a79325915f3e9ef1a68cd39384d9222
🫩,Tired,Smileys & Emotion,1fae9,Smileys Emotion/tired__1fae9.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1fae9/512.png,512,512,174396,862d5361b64c0c6547d4ed8e9ef408054fddfbcf57c7e09c4760ffd10d5ec567
😷,Mask,Smileys & Emotion,1f637,Smileys Emotion/mask__1f637.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f637/512.png,512,512,180671,2d2685950fd88b6399b98fa5e727baccb76747d1961dab0590f87e6abda3aed6
🤒,Thermometer Face,Smileys & Emotion,1f912,Smileys Emotion/thermometer-face__1f912.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f912/512.png,512,512,184111,e31aeff7c9e6967909d8647ed4ee046276b817bb64db65bc3e55ee231540fca6
🤕,Bandage Face,Smileys & Emotion,1f915,Smileys Emotion/bandage-face__1f915.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f915/512.png,512,512,174547,e7dfd60f40218373ac2a1dffebde770228b4cecc7661fff51ed6f17ba7b81ff9
🤢,Sick,Smileys & Emotion,1f922,Smileys Emotion/sick__1f922.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f922/512.png,512,512,237472,aea090b378d3dc2cf1993e69f77862b78a28fa1737d6fcfbc399b434b0f18586
🤮,Vomit,Smileys & Emotion,1f92e,Smileys Emotion/vomit__1f92e.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f92e/512.png,512,512,216225,7603d4930a4a7035ec617ff2812afd1df9b8d427a3331af92bb1b5c675c2d49f
🤧,Sneeze,Smileys & Emotion,1f927,Smileys Emotion/sneeze__1f927.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f927/512.png,512,512,185154,74b9240afeb9f5061163d12e3af8e4d4167dfe4af8895a746972d56aed1b8384
🥵,Hot Face,Smileys & Emotion,1f975,Smileys Emotion/hot-face__1f975.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f975/512.png,512,512,156024,6f7e07205c78ed789f1fade7124060c0560bd84d3c318e13eac53a847f68f519
🥶,Cold Face,Smileys & Emotion,1f976,Smileys Emotion/cold-face__1f976.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f976/512.png,512,512,212950,a5f952ad1a50c8e0117d653b723a7550db2d1bdee641d9a6da7c0e18ad2c0482
🥴,Woozy,Smileys & Emotion,1f974,Smileys Emotion/woozy__1f974.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f974/512.png,512,512,174112,46b7015fad3fe2da8c1cd2c329e6a341cca9f6a4ad98e7df433ada6f4d7e0891
😵,X Eyes,Smileys & Emotion,1f635,Smileys Emotion/x-eyes__1f635.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f635/512.png,512,512,170386,0a73390788726007858f396e0a11eeb8f315cafc40e76a2dbb3e361f73aea481
😵‍💫,Dizzy Face,Smileys & Emotion,1f635_200d_1f4ab,Smileys Emotion/dizzy-face__1f635_200d_1f4ab.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f635_200d_1f4ab/512.png,512,512,178529,ad2c1c3f490c7a4693cc55dfa74bf62b53befe759ace96c9b001ed6ebf15e34f
🤯,Mind Blown,Smileys & Emotion,1f92f,Smileys Emotion/mind-blown__1f92f.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f92f/512.png,512,512,187910,5cfdab1da445026e5ce2ef2129c3fa8665405cf58fec33ee0bef0d6830c68e1c
🤠,Cowboy,Smileys & Emotion,1f920,Smileys Emotion/cowboy__1f920.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f920/512.png,512,512,190475,1403f0558294c5aab710e0c974d9370f734a930828d60bea8da8b2578d3ba696
🥳,Partying Face,Smileys & Emotion,1f973,Smileys Emotion/partying-face__1f973.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f973/512.png,512,512,165499,19fd1fd22acddff4b5047c010f7a93d016fd7d94967b232b1082e56fe68045f3
🥸,Disguise,Smileys & Emotion,1f978,Smileys Emotion/disguise__1f978.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f978/512.png,512,512,166702,59876f80d28cd7fce5a71090b1b54b82e562d5ed3b8c79d16ee3ff2aae6b7332
😎,Sunglasses Face,Smileys & Emotion,1f60e,Smileys Emotion/sunglasses-face__1f60e.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f60e/512.png,512,512,149576,6f6109f5813cd76ea4526dd7c6ccfd9d0ae50a39f9507f52aad7afa4c7e10185
🤓,Nerd Face,Smileys & Emotion,1f913,Smileys Emotion/nerd-face__1f913.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f913/512.png,512,512,191058,c03e0080ec65dbaf95e6aecfc5d00ed63405216979a3da8c82b59eda9ae9f99b
🧐,Monocle,Smileys & Emotion,1f9d0,Smileys Emotion/monocle__1f9d0.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f9d0/512.png,512,512,198792,003ef33f21f3d74ed73b725b770dfdaa5c5e84d9f498a24f6343ee536b3f03fc
😕,Slightly Frowning,Smileys & Emotion,1f615,Smileys Emotion/slightly-frowning__1f615.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f615/512.png,512,512,147981,1b74f4db1befbf09b8bac4e2328d9e4e7334f9815e5ecd168ae3ae2e316c7e10
🫤,Diagonal Mouth,Smileys & Emotion,1fae4,Smileys Emotion/diagonal-mouth__1fae4.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1fae4/512.png,512,512,147518,18a9167a710b418ed56131c1e53810d98eab80d5024cb297b1b10e68ebce8451
😟,Worried,Smileys & Emotion,1f61f,Smileys Emotion/worried__1f61f.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f61f/512.png,512,512,162873,eb45fc29120e2ee5e86e4a29dc56723973a860190e9133f5e55795447a6dff2a
🙁,Frown,Smileys & Emotion,1f641,Smileys Emotion/frown__1f641.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f641/512.png,512,512,172625,52a0eaaa7c473fcf606315496f0928355e2f24cd0d8841fc659cd65aacdfe258
☹,Big Frown,Smileys & Emotion,2639,Smileys Emotion/big-frown__2639.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/2639/512.png,512,512,149736,3e37d9ad237043901c8b0065a2603c6c07e9b39d009dc26f14513d72e700c6b7
😮,Mouth Open,Smileys & Emotion,1f62e,Smileys Emotion/mouth-open__1f62e.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f62e/512.png,512,512,160004,6df36a9c2b2aaf912fcb79091c0ad25ead00618927c93f1636d7c0b62c50f827
😯,Surprised,Smileys & Emotion,1f62f,Smileys Emotion/surprised__1f62f.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f62f/512.png,512,512,164546,4afaed942492af006ffa9ed1d4004ec24de044ea900ce461c2cfc362f8f965fb
😲,Astonished,Smileys & Emotion,1f632,Smileys Emotion/astonished__1f632.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f632/512.png,512,512,161751,397ef694e32771a3496d18a56578b77f98a2845f870cfb4f7d19b0a22592a98d
😳,Flushed,Smileys & Emotion,1f633,Smileys Emotion/flushed__1f633.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f633/512.png,512,512,179125,9a3b1bb1b2855804c2d3927b1a8e61161a11eabbc9575cadff67a75de094e52e
🫪,Distorted Face,Smileys & Emotion,1faea,Smileys Emotion/distorted-face__1faea.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1faea/512.png,512,512,176959,7a1b24a143b58fc8d9e4064eadd2b33aaa03bdd6033d28e8192afadd1ce80b56
🥺,Pleading,Smileys & Emotion,1f97a,Smileys Emotion/pleading__1f97a.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f97a/512.png,512,512,172362,e6305a79fe2f08481519686a4f93ccadcc706e83a04ac1a96c0140f890146814
🥹,Holding Back Tears,Smileys & Emotion,1f979,Smileys Emotion/holding-back-tears__1f979.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f979/512.png,512,512,175052,012bf7e70eeb229d892d19aa6e31279646be05956101c3934a7f4ecc4dd5c48b
😦,Gasp,Smileys & Emotion,1f626,Smileys Emotion/gasp__1f626.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f626/512.png,512,512,157481,aa420930a4b25be9bc1a35523a0832ab0a3a175efc2c03240fb59142e013f2a7
😧,Anguished,Smileys & Emotion,1f627,Smileys Emotion/anguished__1f627.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f627/512.png,512,512,165335,9adf39c9485f8b30000ae4a764b961e0d2c19653a3a79fb5bb19505a38feceba
😨,Scared,Smileys & Emotion,1f628,Smileys Emotion/scared__1f628.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f628/512.png,512,512,180257,0d09bbde7ef608d36248ce8db06a764a9f855da6b21b35494930a21a35ad7745
😰,Anxious With Sweat,Smileys & Emotion,1f630,Smileys Emotion/anxious-with-sweat__1f630.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f630/512.png,512,512,178360,1d2002398fd9325927943a53a06ec6cc07ce29252c94065ff9505ff89948ea6a
😥,Concerned,Smileys & Emotion,1f625,Smileys Emotion/concerned__1f625.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f625/512.png,512,512,176807,9d1bf279079334c14117460682bcc8a7fa4cf2202d9959c0c83bd4852ead9ae9
😢,Cry,Smileys & Emotion,1f622,Smileys Emotion/cry__1f622.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f622/512.png,512,512,164002,df53b00b06bf51ecbe665118446cec7e5ebc9b1f448c1ec3451c7dac7d357e2e
😭,Loudly Crying,Smileys & Emotion,1f62d,Smileys Emotion/loudly-crying__1f62d.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f62d/512.png,512,512,196132,1423745c700d2f4bf44410b132d27a7bdf12b08c5cf73db71fbd1600c574dec0
😱,Screaming,Smileys & Emotion,1f631,Smileys Emotion/screaming__1f631.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f631/512.png,512,512,198866,8e66b12632e3120a1ec2f4ff50073a2fd929965d61006ef5ff44b9dfd71f0314
😖,Scrunched Mouth,Smileys & Emotion,1f616,Smileys Emotion/scrunched-mouth__1f616.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f616/512.png,512,512,166008,1164b0f04cfc79ccd09c99a72c6f6713f14e6f90f76933e363c8eaf583f80b8e
😣,Scrunched Eyes,Smileys & Emotion,1f623,Smileys Emotion/scrunched-eyes__1f623.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f623/512.png,512,512,165713,f87a503582953e22358dfc4a9d4b33f980f7a8c8aacf4817e168eeebc266497e
😞,Sad,Smileys & Emotion,1f61e,Smileys Emotion/sad__1f61e.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f61e/512.png,512,512,142816,ae059d86cc90d6ea9c3389eab4ba748aae77030e1e792d037b96c783c7282b6f
😓,Sweat,Smileys & Emotion,1f613,Smileys Emotion/sweat__1f613.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f613/512.png,512,512,151975,9dba074e753d3f333ad31e1f16cc302bc14b20e1371b92dc1571d0e97fabf210
😩,Weary,Smileys & Emotion,1f629,Smileys Emotion/weary__1f629.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f629/512.png,512,512,159262,e8407efb955409842d9312c4a57a7f34127212d9f18e615c6797c9679dadde7c
😫,Distraught,Smileys & Emotion,1f62b,Smileys Emotion/distraught__1f62b.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f62b/512.png,512,512,163227,0f2378c507b58a2f056a3e661db8d96270fb9efc38a4d883c475d90b6687a584
🥱,Yawn,Smileys & Emotion,1f971,Smileys Emotion/yawn__1f971.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f971/512.png,512,512,199112,ce098b6464a3e5d56471bfa2a11b4da1377c988590d1574dfa29a9def7c9f278
😤,Triumph,Smileys & Emotion,1f624,Smileys Emotion/triumph__1f624.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f624/512.png,512,512,181618,f46e0d51265e5509132898e912085120717245c12c432d0724247c98fe082bf1
😡,Rage,Smileys & Emotion,1f621,Smileys Emotion/rage__1f621.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f621/512.png,512,512,155117,498faabb66f7eab8c72c6c699105f7bff5c8ebab994d4aa1981d3580bd204c5b
